date,actual_price,xrp_hybrid_pred
2025-02-19,2.7378,2.561302637714554
2025-02-20,2.6877,2.742105595000557
2025-02-21,2.5721,2.6900423301395433
2025-02-22,2.574,2.568246050482858
2025-02-23,2.5763,2.568242634870021
2025-02-24,2.2783,2.568533185000783
2025-02-25,2.3222,2.256268138524717
2025-02-26,2.1982,2.2994396417144434
2025-02-27,2.1985,2.1697638011699243
2025-02-28,2.1453,2.1696907972202473
2025-03-01,2.1916,2.1149773332002497
2025-03-02,2.9396,2.1638086588562637
2025-03-03,2.3873,2.9476687652093867
2025-03-04,2.4543,2.3762373803670482
2025-03-05,2.4998,2.447583933244885
2025-03-06,2.6001,2.4964138399525906
2025-03-07,2.3855,2.6031318944807778
2025-03-08,2.3261,2.3779018103163176
2025-03-09,2.1387,2.314757920417997
2025-03-10,2.0216,2.1184557351541673
2025-03-11,2.1711,1.9947971549942862
2025-03-12,2.2396,2.14852035930039
2025-03-13,2.2527,2.2227052333036097
2025-03-14,2.3564,2.23813979165786
2025-03-15,2.3911,2.3492033106690116
2025-03-16,2.2938,2.387783654503607
2025-03-17,2.3382,2.2876617906953958
2025-03-18,2.2851,2.3338829661436495
2025-03-19,2.5469,2.2749007973721644
2025-03-20,2.4361,2.5529932148313086
2025-03-21,2.3809,2.4378647256264623
2025-03-22,2.3711,2.3795663290276936
2025-03-23,2.4393,2.3678321101125346
2025-03-24,2.4501,2.439731040894926
2025-03-25,2.4492,2.4509887586536228
2025-03-26,2.3494,2.450577756088523
2025-03-27,2.341,2.345477640440281
2025-03-28,2.2073,2.333857500887285
2025-03-29,2.1351,2.1924995184807607
2025-03-30,2.1369,2.115641719219031
2025-03-31,2.0899,2.1159121006586195
2025-04-01,2.1387,2.0670008663303445
2025-04-02,2.0237,2.1187532654549797
2025-04-03,2.0648,2.0002662347613174
2025-04-04,2.1302,2.0439078147610945
2025-04-05,2.1442,2.1122528676879084
2025-04-06,1.9218,2.1299025360965524
2025-04-07,1.8987,1.9004298916456088
2025-04-08,1.7963,1.8762551839036314
2025-04-09,2.0529,1.7700587783586208
2025-04-10,1.9658,2.036931020558687
2025-04-11,2.0225,1.949474528045438
2025-04-12,2.1598,2.011145436363721
2025-04-13,2.1196,2.157003186635443
2025-04-14,2.1275,2.118108718535026
2025-04-15,2.0842,2.1277829563026374
2025-04-16,2.0834,2.0825395774968896
2025-04-17,2.0673,2.0814578319026444
2025-04-18,2.0619,2.0637026716244407
